author	Count
Total count: 	18174
Aalborg, Niels Mikkelsen	   1
Aa, Petrus Van Der (1530-1594)	   1
Aa, Pieter Van Der	   1
Abbadie, Jacques	   2
Abbé De Fontenai, NA (1736-1806)	   1
Abbiosi, Ottavio	   1
Abbot, Robert (1560-1617)	   1
Abelin, Johann Philipp (1600-1634)	   1
Abel, Jacob Friedrich	   1
Abel, Kaspar (1676-1763)	   2
Abicht, Johann Georg (1672-1740)	   2
Abillon, André D'	   1
Abou Talib Khan, Mirza (1752-1806)	   1
Abra De Raconis, Charles-françois D'	   1
Abra De Raconis, Charles François D' (1580-1646)	   1
Abraham A Sancta Clara, NA (1644-1709)	   3
Abraham Ibn ʿezraʾ, NA (1089-1164)	   1
Abraham, NA (1644-1709)	   2
Abrahamson, Joseph	   1
Abreu, Pedro De	   1
Abu'l-ghāzī Bahādur Khān, NA (1603-1663)	   1
Abū Maʿšar Al-balẖī, Ğaʿfar Ibn Muḥammad Ibn ʿumar (805-886)	   1
Accarias De Sérionne, Jacques (1706-1792)	   1
Accarie, Barthelemy Mathias Frédéric	   1
Acciaiuoli, Donato (1429-1478)	   1
Accolti, Bernardo	   1
Achery, Luc D' (1609-1685)	   1
Achilles Tatius, NA	   1
Achillini, Alessandro (1463-1512)	   2
Acker, Jean Frederic	   1
Ackermann, Georg Christian Benedikt (1763-1833)	   1
Ackermann, Karl David	   1
Ackermann, Rudolph (1764-1834)	   1
Acosta, Emanuel	   1
Acquaviva, Claudio	   1
Acreigne, Claude D'	   1
Actuarius, Johannes	   1
Acugna, Christopher D'	   1
Adam, Alexander (1741-1809)	   2
Adam, Melchior (1575-1622)	   1
Adams, William (1783-1827)	   1
Adam, Walter (1792-1857)	   1
Adam, William	   1
Adamy, Janos	   1
Adda, Ferdinando D'	   1
Adelbulner, Mich	   1
Adlercreutz, Gustaf Magnus (1775-1845)	   1
Adolf Fredrik, NA (1710-1771)	   1
Adolphi, Christian Michael	   2
Aegidius Hunnius, NA (1550-1603)	   1
Aelianus, Claudius	   3
Aelianus, Tacitus	   1
Aemilius, Georg (1517-1569)	   1
Aemilius, NA	   1
Aepinus, Franz Albert (1673-1750)	   1
Aeschines, NA	   1
Aeschylus, NA	   1
Aesop, NA	   1
Aesopus, NA (6-NA)	   5
Agapetus, NA	   1
Agapito Da Palestrina, NA	   1
Agardh, Carl Adolph (1785-1859)	   1
Agdollo, Francesco	   1
Agerius, Nicolaus (1568-1634)	   1
Agia, Miguel	   1
Agier, NA	   1
Agier, Pierre Jean (1748-1823)	   1
Aglionby, William	   1
Agnelli, Scipione	   1
Agnostos, NA	   1
Agoult, Charles D' (1749-1824)	   1
Agrell, Petrus (1796-1861)	   1
Agricola, Georgius (1494-1555)	   3
Agricola, Johann	   1
Agricola, Johannes (1494-1566)	   1
Agrippa Von Nettesheim, Heinrich Cornelius (1486-1535)	   2
Aguayo, Diego	   1
Aguesseau, Henri-cardin-jean-baptiste	   1
Aguesseau, Henri-françois D' (1668-1751)	   1
Aguila, Atanasio Del	   1
Aguilar, Francisco (16-NA)	   1
Aguirre, Joaquin Javier De	   1
Agustín, Antonio (1517-1586)	   1
Agustín, NA	   1
Agustinus, NA	   1
Ahlefeldt-von Seebach, Charlotte Sophie Louise Wilhelmine Von (1781-1849)	   1
Ahlwardt, Christian Wilhelm (1760-1830)	   1
Ahlwardt, Peter (1710-1791)	   2
Ailhaud, Jean	   1
Aimerich, Mateo	   1
Ainslie, Whitelaw	   1
Aitzing, Michael Von (1530-1593)	   1
Aitzing, Michael Von (1530-1598)	   1
Akenside, Mark (1721-1770)	   1
Alabaster, William (1567-1640)	   1
Alagona, P (1549-1624)	   1
Alain, René (1680-1720)	   1
Alamán, Lucas (1792-1853)	   1
Alamanni, Luigi	   1
Alan, Henric Michelsson	   1
Alard, Marie-joseph-louis-jean-françois-antoine (1779-1850)	   1
Alard, Wilhelm (1572-1645)	   1
Alasia, Giuseppe Antonio	   1
Alathaeus, Henricus	   1
Albemarle, George Monck (1608-1670)	   1
Albergati Capacelli, Francesco (1728-1804)	   2
