author	Count
Alberico, NA	   1
Alber, Johann Nepomuk (1753-1830)	   1
Albertanus, NA	   1
Alberthoma, Robertus	   1
Alberti, Leandro (1479-1552)	   1
Alberti, Leon Battista (1404-1472)	   2
Alberti, Le P.leandro	   1
Alberti, Michael (1682-1757)	   1
Alberti, Michael Arzt	   2
Alberti Y Vidal, Vicente	   1
Albert Le Grand, NA (1200-1280)	   2
Albertus De Saxonia, NA	   1
Albertus, Michaelis	   1
Albertus, NA (1193-1280)	   3
Alberus, Erasmus (1500-1553)	   1
Albinus, Bernhard Siegfried (1697-1770)	   1
Albinus, Petrus (1543-1598)	   1
Albrecht, F. C	   1
Albrecht, Johann Christoph	   1
Albrecht, Johann Friedrich Ernst (1752-1814)	   2
Albrecht, Meister	   1
Albrecht, NA (1583-1634)	   1
Albrecht, Wilhelm Eduard (1800-1876)	   1
Alcázar, Luis (1554-1613)	   1
Alciat, André (1492-1550)	   1
Alciati, Andrea (1492-1550)	   2
Alcock, Nathan	   1
Alcock, Thomas (1709-1798)	   1
Alcuinus, Flaccus	   2
Aldinger, Georg Wolfgang	   1
Aldrovandi, Ulisse (1522-1605)	   2
Aleandro, Girolamo	   1
Aleardi, Lodovico	   1
Alègre, D'	   1
Alemán, Mateo (1547-1613)	   1
Alemán, Mateo (1547-1615)	   1
Alembert, Jean Lerond D'	   1
Alembert, Jean Le Rond D' (1717-1783)	   1
Alendorp, Raphael Ab	   1
Alès De Corbet, Vte P.-alex D'	   1
Alessandri, Caio Baldassarre Olimpo (1486-1540)	   1
Alessandrini, Giulio (1506-1590)	   1
Alessi, Giuseppe (1774-1837)	   1
Aleutner, Tobias	   1
Alewijn, Zacharias Henric	   1
Alexander De Villa Dei, NA	   3
Alexander, Isaak	   1
Alexander, NA (1599-1667)	   6
Alexander, William (1783-NA)	   1
Alexander, William (1873-NA)	   1
Alexandre, NA (1431-1503)	   1
Alexandre, Nicolas	   1
Alexandre, Noël (1639-1724)	   2
Alexandre, Noel (1639-1724)	   1
Alexandro, Alexander Ab	   1
Alfani, Vincenzo	   1
Alfieri, Vittorio (1749-1803)	   3
Alfonso Maria, NA	   4
Alfonso, NA	   1
Algermissen, Franz	   1
Alibert, Jean Louis	   1
Alighieri, Dante	   1
Alischer, Heinrich	   1
Alissan, Le P	   1
Allacci, Leone (1586-1669)	   1
Allan, Robert (1778-1827)	   1
Allen, George	   1
Allen, John	   1
Allen, William (1532-1594)	   1
Alleplas, Abraham Van	   1
Allestree, Richard (1619-1681)	   2
Alletz, Pons-augustin (1703-1785)	   2
Allingham, John Till	   1
Allix, Pierre (1641-1717)	   2
Almelooven, Theodor Jansson Van (1657-1712)	   1
Alnander, Johann O	   1
Alonso De Alcalá De Henares, NA	   1
Alphen, Hiëronymus Van	   1
Alphonse De Liguori, NA (1696-1787)	   1
Alsted, Johann Heinrich (1588-1638)	   2
Altamonte, Pedro	   1
Althann, Michael Franz Ferdinand Von	   1
Althusius, Johannes (1563-1638)	   2
Alting, Jacobus	   1
Alt, Johannes	   1
Altmann, Johann (1664-1723)	   1
Altomare, Donato Antonio	   1
Alucci, Cesare	   1
Alvares Do Oriente, Fernão D'	   1
Alvares, Manuel (1526-1583)	   2
Alvarez De Paz, Diego (1560-1620)	   3
Alvarez De Velasco, Gabriel	   1
Alvarez, Diego	   1
Alvarez Guerrero, Alfonso	   1
Alvarez, Manuel	   1
Álvarez Pato Y Castrillón, Agustín	   1
Alva Y Astorga, Pedro De	   1
Alxinger, Johann Baptist Von (1755-1797)	   2
Amadis, NA	   1
Amadutius, Joh. Cph	   1
Amalric, François De Sales D'	   1
Amat, Felix	   1
Ambroise, NA (340-397)	   2
Ambrosius, Saint	   1
Amburger, Johann A	   1
Amelot De Gournay, Michel-jean (1655-1724)	   1
Amelot De La Houssaie, Abraham Nicolas (1634-1706)	   1
Amelot De La Houssaye, NA	   1
Am Ende, Christian Karl (1730-1799)	   1
Amenta, Niccolo	   1
Amersfoordt, Jacobus	   1
Ames, William	   1
Amico, Giovan Battista D'	   1
Amling, Wolfgang D.ä	   1
Amman, Johann	   1
Ammannati, Jacobus	   1
Ammann, Paul (1634-1691)	   1
Ammersbach, Heinrich	   1
Ammianus Marcellinus, NA	   1
Ammianus, NA	   1
Ammirato, Scipione (1531-1601)	   4
Ammon, Christoph Friedrich Von (1766-1850)	   1
Ammonius, NA	   1
Ammonius, Petrus	   1
Amoretti, Carlo	   1
Amoreux, Pierre-joseph	   1
Amoros, Francisco (1770-1848)	   1
Amort, Eusebius	   1
ʿamr Ibn Kult̲um, NA	   1
Amsdorff, Nicolaus Von	   1
Amsel, Andreas Christian	   1
Amsel, Georg (1641-1721)	   1
Amsel, Johannes	   1
Amthor, Christoph Heinrich (1677-1721)	   1
Amyraut, Moïse (1596-1664)	   1
Amy, S	   1
Anacréon, NA	   1
Anacreonte, NA	   1
Anakreon, NA (6-NA)	   1
Anastase Le Sinai͏̈te, NA (640-700)	   1
Anburey, Thomas	   1
Ancher, Lorentz	   1
Ancillon, Jean Pierre Frédéric (1767-1837)	   1
Ancillon, Johann Peter Friedrich (1767-1837)	   2
Anderson, James	   1
Anderson, Joh	   1
Anderson, Patrick	   1
Anderson, William	   1
Andrade, Alonso De	   1
Andreae, Conradus	   1
Andreae, Elias	   1
Andreae, Johannes (1417-1475)	   1
Andreæ, Johann Valentin	   1
Andreae, Johann Valentin (1586-1654)	   2
Andreae, Laurentius (1594-1633)	   1
Andreae, Paul Christoph Gottlob (1772-1824)	   1
Andreae, Paullus Christophorus Gottlob	   1
Andrea, Giovanni D' (1270-1348)	   1
Andrea, NA (1685-NA)	   3
Andreas, Elias (1561-1617)	   1
Andreas, NA (1410-1480)	   1
Andreas, Valerius (1588-1655)	   1
Andreini, Isabella (1562-1604)	   1
Andrès De La Madre De Dios, NA	   1
Andrés, Juan (1740-1817)	   1
Andreucci, Andrea Girolamo	   1
Andrew, NA (1350-1420)	   1
Andriaensus, Andriaen	   1
Andrieux, François (1759-1833)	   2
Andronicus, Tranquillus Parthenius	   1
Andry De Boisregard, Nicolas	   1
Anfossi, Pasquale (1727-1797)	   2
Angeli, Alessandro Degli	   1
Angeli, Jacopo	   1
Angeli, Pietro (1517-1596)	   1
Angeli, Stefano Degli (1623-1697)	   1
Angel, Nicolas	   1
Angelo Carletti, NA (1411-1495)	   1
Angelus, NA (1411-NA)	   1
Angely, Louis	   1
Anger, Rudolf (1806-1866)	   1
Anglés, José (158-NA)	   1
Anguisciola, Antonio	   1
Anhalt, Fürst Wolfgang	   1
Anianus, NA	   1
Anibert, Louis Mathieu	   1
Annesley, Samuel	   1
Annulleru, Binidittu	   1
Anquetil Du Perron, Abraham Hyacinthe	   1
Anquetil, Louis-pierre (1723-1806)	   2
Ansart, Louis Joseph Auguste (1748-1823)	   1
Anseaume, Louis (1721-1784)	   2
Anselme De Sainte-marie, NA (1625-1694)	   1
Anselm, NA (1033-1109)	   1
Anshelm, Valerius (1475-1547)	   1
Anslijn, N (1777-1838)	   1
Anslo, Reinier (1622-1669)	   1
Anstey, Christopher	   1
Antelmy, Joseph	   1
Anti-juniper, NA	   1
Antinori, Antonio Lodovico	   1
Antist, Vicente Justiniano (1599-NA)	   1
Antognossi, Gerardus	   1
Antoine, A	   1
Antonelli, Giovanni Carlo	   1
Antonin, NA (1389-1459)	   1
Antoninus Florentinus, NA	   1
Antoninus, NA	   1
Antoninus Von Florenz, NA	   1
Antonio, Nicolás (1617-1684)	   1
Antonius, NA	   1
Anton, Karl	   1
Anton, Paul	   1
Antonucci, Giovanni Battista	   1
Antrow, Christian Friedrich	   1
Anville, Jean-baptiste Bourguignon D'	   1
Aoult, F. R	   1
Aparicio, Pedro De	   1
Apelles, Valentin	   1
Aphthonius, NA	   1
Apianus, Petrus (1495-1552)	   1
Apollonius, NA (2-NA)	   1
Apollos, NA (1745-1801)	   1
Appert, Charles	   1
Apuleius, NA	   3
Aquila, David (1540-1614)	   1
Aquin, Philippe D' (1578-1650)	   1
Aramene, NA	   1
Aratos, NA	   1
Aratus, NA	   1
Arbon, Johannes George (1786-1857)	   1
Arboreda, Alejandro	   1
Arcade De Narnia, Fabius	   1
Arcangelo, NA	   1
Archdekin, Richard (1618-1693)	   3
Archenholz, Johann Wilhelm Von (1743-1812)	   2
Archer, John	   1
Arckenholtz, Joh	   1
Ardensbach, Wenceslaus Maximilian	   1
Ardia, Giovanni Antonio (1654-1724)	   1
Arétée De Cappadoce, NA	   1
Arétin, L' (1492-1556)	   1
Aretino, Pietro (1492-1556)	   2
Aretius, Benedictus (1505-1574)	   1
Argellati, Francesco (1712-1754)	   1
Argens, J.b. De Boyer D' (1704-1771)	   1
Argens, Jean Baptiste De Boyer	   1
Argens, Jean-baptiste De Boyer (1704-1771)	   1
Argens, Jean-baptiste De Boyer D' (1704-1771)	   1
Argenson, René Louis De Voyer De Paulmy D'	   1
Argenterio, Giovanni (1513-1572)	   1
Argonne, Noël Bonaventure De	   1
Arias Montano, Benito (1527-1598)	   1
Arioste, L' (1474-1533)	   5
Ariosto, Gabriele (1477-1552)	   1
Ariosto, Ludovico (1474-1533)	   4
Arisi, Francesco (1657-1743)	   1
Aristaenetus, NA	   1
Aristophane, NA	   2
Aristophanes, NA	   4
Aristóteles, NA	   1
Aristoteles, NA	  13
Aristote, NA	   8
Aristotle, NA	   1
Armagh, Ire. Diocese	   1
Armstrong, Archibald	   1
Armstrong, George	   1
Arnaud, Carlo Marco	   1
Arnaud De Ronsil, Georges (1698-1774)	   1
Arnaud, Fr. Th. Mar. De Baculard D'	   1
Arnauld, Antoine (1612-1694)	  12
Arnauld D'andilly, Robert (1589-1674)	   3
Arnault, Antoine Vincent (1766-1834)	   2
Arnd, Carl (1673-1721)	   2
Arndt, Ernst Moritz (1769-1860)	   1
Arndt, Gottfried August	   1
Arndt, Johann (1555-1621)	   1
Arndt, Samuel Wilhelm (1769-1820)	   1
Arneth, Michael	   1
Arne, Thomas Augustine (1710-1778)	   3
Arnhem, L. Van	   1
Arnhem, NA	   1
Arnhold, David Gottfried	   1
Arnobius, NA (4-NA)	   3
Arnold, Gottfried (1666-1714)	   2
Arnoldi, Caspar	   1
Arnoldi, Kaspar (1600-NA)	   2
Arnoldt, Daniel Heinrich (1706-1775)	   1
Arnold, Thomas	   1
Arnoul De Lisieux, NA	   1
Arnschwanger, Johann Christoph (1625-1696)	   2
Arp, Jan Van	   1
Arriaga, Rodericus De	   1
Arriaga, Rodrigo De (1592-1667)	   1
Arrianus, Flavius	   5
Arrien, NA (95-175)	   2
Arrighi, Lorenzo	   1
Arsène De Palmyre, Le P	   1
Artaud, NA	   1
Artedi, Peter	   1
Artegiani, Angiolo G	   1
Artemidorus Daldianus, NA	   1
Arthus, Gotthard (1568-1630)	   1
Artis, Jean	   1
Artois, Armand D' (1788-1867)	   1
Artopoeus, Johannes Petrus	   1
Arumäus, Dominicus (1579-1637)	   1
Arvieux, Laurent D' (1635-1702)	   1
Aschaneus, Martinus Laurentii	   1
Ascona, Antonio	   1
Asconius Pedianus, Quintus	   1
Aslacus, Cunr	   1
Asōpios, Kōnstantinos (1790-1872)	   1
Assarino, Luca (1602-1672)	   1
Assemani, Giuseppe Simone (1687-1768)	   2
Assemani, Giuseppe Simonio	   2
Aster, Karl Heinrich (1782-1855)	   1
Ast, Friedrich	   1
Astorga Y Cespedes, Diego De	   1
Astros, Paul Thérèse David D' (1772-1851)	   1
Atger, Xavier (1758-1833)	   1
Athanase, NA (295-373)	   1
Athenagoras, NA (177-NA)	   1
Athenagoras, NA (2-NA)	   1
Athénaios Naukratités, NA	   1
Atkins, James	   1
Atkinson, James (1667-1715)	   1
Atkyns, Robert (1621-1709)	   1
Atwood, Thomas	   1
Aubarede, Louis	   1
Auber, Daniel-françois-esprit (1782-1871)	   1
Aubert De La Chesnaye Des Bois, François-alexandre (1699-1784)	   1
Aubert-dubayet, Jean-baptiste-annibal (1757-1797)	   1
Aubigné, Théodore Agrippa D' (1552-1630)	   1
Auboux Des Vergnes, Jean	   1
Aubrey, John (1626-1697)	   1
Aubry, Jean-françois (1947-NA)	   1
Auckland, William Eden (1744-1814)	   1
Aude, NA (1755-1841)	   1
Audibran, Joseph	   1
Audran, Gérard (1640-1703)	   1
Audubon, John James (1785-1851)	   1
Auguste D' ****, NA	   1
Auguste, Henri (1759-1816)	   1
Augustin, NA (354-430)	   9
Augustin, Paul Josef Ludwig	   1
Augustinus, Aurelius	  14
Augustinus., Aurelius	   2
August, NA (1526-1586)	   1
Aulisius, Domenico D' (1649-1717)	   1
Aulnoy, Marie-catherine Le Jumel De Barneville	   1
Aulu-gelle, NA (123-180)	   1
Aurbacher, Ludwig	   1
Aurelius Victor, NA	   1
Aureoli, Pierre	   1
Ausone, NA (310-395)	   1
Austen, Jane (1775-1817)	   2
Autenrieth, Johann Heinrich Ferdinand	   1
Autenrieth, Johann Heinrich Ferdinand Von (1772-1835)	   1
Auvigny, Jean Du Castre D' (1712-1743)	   1
Avanci, Giuseppe	   1
Avaux, Claude De Mesmes	   1
Avaux, Jean Antoine De Mesmes Comte D' (1640-1709)	   1
Avicenna, NA	   1
Aviler, Augustin-charles D' (1653-1701)	   1
Avrillon, Jean Baptiste Élie	   1
Aynsa Y De Yriarte, Francisco Diego De	   1
Ayrer, Georg Heinrich (1702-1774)	   1
Ayres, John (1705-NA)	   1
Azaïs, Hyacinthe (1766-1845)	   2
Azeredo Coutinho, José Joaquim Da Cunha De (1742-1821)	   1
Azpilcueta, Martín De (1491-1586)	   1
Azpilcueta, Martin De (1491-1586)	   3
Azpilcueta, Martin De (1493-1586)	   1
Azpilcueta, Martin De (NA-1586)	   1
Baader, Clemens Alois	   1
Baarland, Adriaan Van (1486-1538)	   2
Babell, William (1690-1723)	   1
Babenstuber, Ludwig	   1
Babin, François (1651-1734)	   1
Babo, Franz Joseph Marius Von (1756-1822)	   1
Babo, Franz Jos. Maria V	   1
Bacallar Y Sanna, Vincenzo (1669-1726)	   1
Bacci, Andrea (1524-1600)	   1
Bacci, Pietro Giacomo	   1
Bachaumont, Louis Petit De (1690-1771)	   1
Bachelier, Jean-jacques	   1
Bachelot De Lapylaie, Auguste Jean Marie (1786-1856)	   1
Bach, Johann August (1721-1758)	   1
Bachmayr, Georg Conrad	   1
Backer, Pieter De	   1
Backmeister, Heinrich	   1
Backus, Isaac (1724-1806)	   2
Bacon, Francis (1561-1626)	   4
Bacon, Matthew	   1
Bacquet, Jehan	   1
Baden, Jac	   1
Badeslade, Thomas	   1
Badoaro, Sebastiano	   1
Baersdorp, Cornelis Van (1484-1565)	   1
Baeza, Diego De (1582-1647)	   1
Bagard, Charles Christophe	   1
Bagge, Johann David (1713-1790)	   1
Baggesen, Jens (1764-1826)	   2
Baglioni, Giovanni Paolo (1520-NA)	   1
Bahrdt, Carl Friedrich (1741-1792)	   1
Bährens, Johann Christoph Friedrich Arzt	   1
Baiardo, Andrea	   1
Baier, Johann Jacob	   1
Baier, Johann Jakob (1677-1735)	   1
Baier, Johann Wilhelm (1647-1695)	   1
Baïf, Jean-antoine De (1532-1589)	   1
Bailleul, Jacques-charles (1762-1843)	   1
Baillou, Guillaume De (1538-1616)	   2
Bailly, Charles Francois	   1
Bailly, Jean Sylvain (1736-1793)	   1
Bailly, Louis (1730-1808)	   2
Bailly, Pierre (1628-NA)	   1
Baird, George Husband (1761-1840)	   1
Baizini, Giovanni Battista	   1
Bake, John (1787-1864)	   1
Baker, Henry (1698-1774)	   1
Bakewell, Thomas	   1
Bakker, Pieter	   1
Balassa, Constantin	   1
Balbano, Bernardino (1558-NA)	   1
Balbi, Ambrogio	   1
Balbi, Girolamo (1460-1535)	   1
Balbín, Bohuslav	   1
Balbo, Cesare	   1
B°ald, Andreas A (1679-1751)	   1
Baldi, Bernardino (1553-1617)	   1
Baldinger, Ernst Gottfried (1738-1804)	   2
Baldovinetti, Ettore	   1
Balducci, Francesco (1579-1642)	   1
Balduin, Christian Adolf (1632-1682)	   1
Balduin, Friedrich (1575-1627)	   6
Baldus De Ubaldis, NA (1327-1400)	   1
Baldus, NA (1327-1400)	   1
Balecke, Daniel Heinrich	   1
Balguy, John (1686-1748)	   1
Balicki, Jan Stanisław (NA-1716)	   1
Balisson De Rougemont, Michel-nicolas (1781-1840)	   1
Balk, Daniel Georg (1764-1826)	   1
Ballerini, Pietro (1698-1769)	   1
Ballot, Christophorus Henricus Didericus	   1
Balthasar, Augustinus	   1
Balthasar, Augustin Von (1701-1786)	   2
Balthasar, Augustin Von Jurist	   1
Balzac, Jean-louis Guez De (1594-1654)	   1
Balzac, Jean-louis Guez De (1595-1654)	   2
Bancroft, Edward Nathaniel	   1
Bandelin, Johann Niklas	   1
Bandello, Matteo (1485-1561)	   1
Bandemer, Susanne Von (1751-1828)	   1
Bandini, Angelo Maria (1726-1803)	   1
Bandtke, Joannes Vincentius	   1
Bandtkie, Jerzy Samuel	   1
Bang, Johannes Petrus (1807-NA)	   1
Banier, Antoine (1673-1741)	   2
Banks, John (1706-NA)	   1
Banniza Von Bazan, Johann Peter	   1
Banzerus, Marcus	   1
Baour-lormian, NA (1770-1854)	   1
Baour Lormian, Pierre Marie Francois Louis	   1
Bapst, Michael (1540-1603)	   1
Baptista, NA (1447-1516)	   2
Barailon, I. F	   1
Bara, Jan	   1
Barante, Amable-guillaume-prosper Brugière (1782-1866)	   1
Barante, Amable-guillaume-prosper Brugière De (1782-1866)	   2
Barante, Prosper Brugière	   1
Baratier, Jean Philippe (1721-1740)	   1
Baratteri, Giovanni Battista (1601-1677)	   1
Barbançois-villegongis, Charles-hélion (1760-1822)	   1
Barbaro, Ermolao (1453-1493)	   1
Barbaro, Francesco	   1
Barbato, Girolamo (1657-NA)	   1
Barbault, Jean	   1
Barbay, Pierre	   1
Barbaz, A.l (1770-1833)	   1
Barbé De Marbois, François (1745-1837)	   1
Barbé-marbois, François De (1745-1837)	   1
Barbenes, Johannes	   1
Barberi, Giovanni (1748-1821)	   1
Barber, William	   1
Barbeyrac, Jean (1674-1744)	   1
Barbier, J. B. G (1776-1855)	   1
Barbosa, Agostinho (1590-1649)	   1
Barbosa, Simão Vaz (1594-1681)	   1
Barcelin, Petrus	   1
Barcellini, Innocenzo	   1
Barcía Carballido Y Zúñiga, Andrés González De (1673-1743)	   1
Barcia Y Zambrana, José De (NA-1695)	   2
Barclay, John (1582-1621)	   2
Barclay, John (1758-1826)	   1
Barclay, Robert (1648-1690)	   2
Barcos, Martin De	   1
Bardi, Girolamo (1600-1667)	   1
Bardili, Karl	   1
Bareau De Girac, François (1730-1820)	   1
Bärens, Joh. Hendr	   1
Bärensprung, Sigmund (1738-NA)	   1
Baretti, Giuseppe (1719-1789)	   1
Bar, Georg Ludwig Von (1701-1767)	   1
Barisien, Josephus Ernestus	   1
Bar, Jean-étienne	   1
Barkhaus, Hermann (1629-1694)	   1
Barlaeus, Gaspard (1584-1648)	   1
Barletti De Saint-paul, Francisco P	   2
Barlow, William (1613-NA)	   1
Barnave, Antoine (1761-1793)	   1
Barnes, Robert	   1
Baron, Éguinaire	   1
Baronio, Cesare (1538-1607)	   6
Baron, Michel (1653-1729)	   1
Baron, Vincent (1604-1674)	   1
Baróti-szabó, Dávid (1739-1819)	   1
Barradas, Sebastianus	   1
Barradas, Sebastião	   1
Barré De Saint-venant, Jean	   1
Barreiros, Gaspar (1574-NA)	   1
Barré, Pierre-yon (1749-1832)	   1
Barré, Pierre Yon (1749-1832)	   1
Barré, Pierre-yves (1749-1832)	   1
Barret, NA	   1
Barrington, John Shute (1678-1734)	   1
Barros, João De (1881-1960)	   2
Barrot, Odilon (1791-1873)	   1
Barrow, Isaac (1630-1677)	   2
Barrow, John (1764-1848)	   1
Barrow, John (1800-1848)	   1
Barruel, Augustin	   1
Barry, Paul De	   2
Barschamp, Georg	   1
Bartelmaeus, Jacobus	   1
Bartelon, Pantaléon	   1
Barter, Johannes	   2
Barth, Bernhard	   1
Barth, Caspar Von	   1
Barth, Christian Karl (1775-1853)	   1
Barth, Christophor Gottfried	   1
Barthélemy, Auguste (1796-1867)	   1
Barthélemy, Jean-jacques (1716-1795)	   1
Barthélemy, Jean Jacques (1716-1795)	   1
Barthélemy, J.-j (1716-1795)	   1
Barthe, Nicolas Thomas (1736-1785)	   1
Barthez, Paul-joseph (1734-1806)	   1
Barth, Johann Conrad (1692-NA)	   1
Barth, Johann Heinrich	   1
Barthold, Georg Theodor (1714-NA)	   1
Barthold, Gottfried	   1
Bartholin, Caspar (1585-1629)	   1
Bartholin, Thomas (1616-1680)	   5
Bartholinus, Johannes	   1
Bartholomaeus Coloniensis, NA	   1
Bartolameo, NA	   1
Bartoli, Daniello (1608-1685)	   2
Bartolomeo, NA (1471-1535)	   1
Bartolommei, Mattia M. De (1640-1695)	   1
Bartolus De Sassoferrato, NA (1314-1357)	   1
Bartsch, Jacob (1600-1633)	   1
Bary, René	   1
Basan, Pierre-françois (1723-1797)	   1
Basch, Siegmund (1700-1771)	   1
Basedow, Johann Bernhard (1723-1790)	   1
Baseley, Thomas (1768-NA)	   1
Baselli, Francis	   1
Bashuysen, Heinrich Van (1679-1758)	   1
Basile Valentin, NA	   1
Basilévitsch, Gregorius (1759-NA)	   1
Basilius Magnus, NA	   1
Basilius, NA (1394-1450)	   1
Basilius, NA (9-1450)	   1
Basilius, NA (NA-1450)	   1
Basnage, Henry	   1
Basnage, Jacques (1653-1723)	   2
Basoli, Antonio (1774-1848)	   1
Bassée, Nicolas (1601-NA)	   1
Basset, NA	   1
Bassompierre, François De	   1
Bastenaire-daudenart, F	   1
Bastide, Jean-françois De (1724-1798)	   1
Batazi, Caspar Ts	   1
Bate, George (1608-1668)	   1
Bate, George (1608-1669)	   2
Bate, George (1608-NA)	   1
Bateman, Thomas (1778-1821)	   1
Bates, William (1625-1699)	   2
Bathurst, Elizabeth	   1
Batsch, August J. G. K (1761-1802)	   1
Batteux, Abbé Charles	   1
Batteux, Charles (1713-1780)	   3
Battishill, Jonathan (1738-1801)	   1
Baudard, Georges-nicolas	   1
Baudartius, Willem	   1
Baudier, Dominique (1561-1613)	   1
Baudier, Michel	   2
Baudon, Anne-marguerite-charlotte	   1
Baudouin, François (1520-1573)	   2
Bauer, Anton (1772-1843)	   1
Bauer, Heinrich Gottfried (1733-1811)	   1
Bauer, Karl Ludwig	   1
Bauhin, Jean	   1
Bauhinus, Joannes Jacobus	   1
Baulgite, Alexandre	   1
Baum, Caspar (1702-NA)	   1
Baumeister, Friedrich Christian (1709-1785)	   2
Baumer, Johann Wilhelm (1719-1788)	   2
Baumgarten-crusius, Carl Wilhelm (1786-1845)	   1
Baumgarten, Nicolas Wilhelm Von	   1
Baumgarten, Siegmund Jacob	   1
Baumgarten, Siegmund Jakob (1706-1757)	   2
Baumgart, Johann (1514-1578)	   1
Baumgärtner, Adam Friedrich Gotthelf	   1
Baur, Ferdinand Christian (1792-1860)	   1
Baur, Samuel (1768-1832)	   1
Baur, Wilhelm Friedrich (1784-1823)	   1
Bavoux, François Nicolas (1774-1848)	   1
Baxter, Andrew	   1
Baxter, Richard (1615-1691)	   4
Baxter, Richard Theologe	   3
Bayam, Andre (1566-1639)	   1
Bay, Christian Friderick (NA-1809)	   1
Bayle, François (1622-1709)	   1
Bayle, François Antoine	   1
Bayle, Pierre (1647-1706)	   5
Bayly, Lewis	   1
Beachcroft, Robert Porten	   1
Beattie, James (1735-1803)	   1
Beaufort D' Hautpoul, Anne Marie De (1763-1837)	   1
Beaufoy, Henry	   1
Beau, Jean Baptiste	   1
Beaulieu, Claude-françois (1754-1827)	   1
Beaumarchais, Pierre-augustin Caron De (1732-1799)	   4
Beaumarchais, Pierre Augustin Caron De (1732-1799)	   3
